model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
B3,2,inter_peak,15,15min,176687,1.41460311,2.12022042,6.78383350,7.98470211,5
B3,2,inter_peak,30,30min,176687,1.42371559,2.15003848,6.82753229,8.07721519,5
B3,2,inter_peak,45,45min,176687,1.43205988,2.16402745,6.86754799,8.15291977,5
B3,2,inter_peak,60,60min,176687,1.44662809,2.18494582,6.93741083,8.24203873,5
B3,2,inter_peak,-1,mean,706748,1.42925167,2.15493631,6.85408115,8.11421871,20
B3,2,pm_peak,15,15min,87655,1.71424544,2.67958426,8.52901745,10.66717815,3
B3,2,pm_peak,30,30min,87655,1.76825154,2.78473544,8.79771805,10.95040131,3
B3,2,pm_peak,45,45min,87655,1.82721698,2.87773681,9.09109306,11.26951790,3
B3,2,pm_peak,60,60min,87655,1.88779175,2.98761249,9.39247513,11.63512993,3
B3,2,pm_peak,-1,mean,350620,1.79937649,2.83470130,8.95257568,11.13055706,12
B3,2,off_peak,15,15min,275519,1.85326266,2.75714970,7.85579252,9.35340691,30
B3,2,off_peak,30,30min,276340,1.84664142,2.75055552,7.83168507,9.33879662,28
B3,2,off_peak,45,45min,277070,1.85992014,2.76134157,7.89052153,9.38792324,25
B3,2,off_peak,60,60min,277737,1.88271844,2.77909303,7.98951769,9.48543262,26
B3,2,off_peak,-1,mean,1106666,1.86066842,2.76207995,7.89200878,9.39153481,109
B4,0,all,15,15min,628205,1.66202593,2.51459050,7.57240486,9.00745392,39
B4,0,all,30,30min,629026,1.66761446,2.53104568,7.59893894,9.06077385,37
B4,0,all,45,45min,629756,1.67360330,2.54324436,7.62672186,9.10781670,34
B4,0,all,60,60min,630423,1.68096209,2.55451465,7.66068792,9.16637707,35
B4,0,all,-1,mean,2517410,1.67106068,2.53591156,7.61472893,9.08568192,145
B4,0,am_peak,15,15min,88344,1.59184551,2.34836793,7.63381100,8.80314255,1
B4,0,am_peak,30,30min,88344,1.59797120,2.38201046,7.66318798,8.90219402,1
B4,0,am_peak,45,45min,88344,1.61389041,2.42439771,7.73952913,9.05924988,1
B4,0,am_peak,60,60min,88344,1.63315952,2.46686649,7.83193541,9.24193668,1
B4,0,am_peak,-1,mean,353376,1.60921669,2.40582323,7.71711636,9.00163078,4
B4,0,inter_peak,15,15min,176687,1.39922142,2.10654235,6.71006870,7.86386347,5
B4,0,inter_peak,30,30min,176687,1.40838492,2.12598014,6.75401306,7.92866135,5
B4,0,inter_peak,45,45min,176687,1.41374075,2.13466930,6.77969742,7.97000074,5
B4,0,inter_peak,60,60min,176687,1.42002916,2.14373326,6.80985355,8.00645542,5
B4,0,inter_peak,-1,mean,706748,1.41034412,2.12777567,6.76340818,7.94224501,20
B4,0,pm_peak,15,15min,87655,1.70174658,2.67783308,8.46683025,10.57018757,3
B4,0,pm_peak,30,30min,87655,1.72854555,2.73715687,8.60016537,10.78401566,3
B4,0,pm_peak,45,45min,87655,1.74913299,2.77724242,8.70259571,10.95592022,3
B4,0,pm_peak,60,60min,87655,1.76375890,2.80849695,8.77536488,11.11416721,3
B4,0,pm_peak,-1,mean,350620,1.73579586,2.75061584,8.63623810,10.85607243,12
B4,0,off_peak,15,15min,275519,1.84042549,2.74261332,7.80137682,9.30918789,30
B4,0,off_peak,30,30min,276340,1.83629870,2.73897481,7.78782129,9.28873444,28
B4,0,off_peak,45,45min,277070,1.83446169,2.73519444,7.78251743,9.26422596,25
B4,0,off_peak,60,60min,277737,1.83603287,2.73192692,7.79140234,9.26552486,26
B4,0,off_peak,-1,mean,1106666,1.83679950,2.73716831,7.79076910,9.28186512,109
B4,1,all,15,15min,628205,1.68803442,2.55202627,7.69090271,9.12052727,39
B4,1,all,30,30min,629026,1.69557345,2.56995058,7.72634125,9.18205643,37
B4,1,all,45,45min,629756,1.70256221,2.58130693,7.75868988,9.23256874,34
B4,1,all,60,60min,630423,1.70995760,2.59015536,7.79283047,9.28854847,35
B4,1,all,-1,mean,2517410,1.69904244,2.57341766,7.74223661,9.20600700,145
B4,1,am_peak,15,15min,88344,1.58528244,2.35303450,7.60233784,8.82030487,1
B4,1,am_peak,30,30min,88344,1.60464454,2.39879274,7.69519043,8.97970867,1
B4,1,am_peak,45,45min,88344,1.62839723,2.44300175,7.80909824,9.17150593,1
B4,1,am_peak,60,60min,88344,1.65397656,2.49029827,7.93176603,9.38488770,1
B4,1,am_peak,-1,mean,353376,1.61807513,2.42181849,7.75959778,9.08910179,4
B4,1,inter_peak,15,15min,176687,1.41735387,2.12676573,6.79702473,7.88854361,5
B4,1,inter_peak,30,30min,176687,1.42644441,2.14573216,6.84061861,7.95396948,5
B4,1,inter_peak,45,45min,176687,1.43193972,2.15566301,6.86697149,7.99428606,5
B4,1,inter_peak,60,60min,176687,1.43808031,2.16482687,6.89642000,8.02935505,5
B4,1,inter_peak,-1,mean,706748,1.42845452,2.14829326,6.85025835,7.96653843,20
B4,1,pm_peak,15,15min,87655,1.83044362,2.82897663,9.10714626,11.01975632,3
B4,1,pm_peak,30,30min,87655,1.85730815,2.88480067,9.24080753,11.22331715,3
B4,1,pm_peak,45,45min,87655,1.87695193,2.91752934,9.33854294,11.38216209,3
B4,1,pm_peak,60,60min,87655,1.88788533,2.93585300,9.39294052,11.50894833,3
B4,1,pm_peak,-1,mean,350620,1.86314726,2.89207530,9.26985931,11.28354549,12
B4,1,off_peak,15,15min,275519,1.84925890,2.76182199,7.83882141,9.40264320,30
B4,1,off_peak,30,30min,276340,1.84541714,2.75877333,7.82649279,9.38449383,28
B4,1,off_peak,45,45min,277070,1.84361494,2.75419211,7.82134914,9.36164761,25
B4,1,off_peak,60,60min,277737,1.84456873,2.74844837,7.82762480,9.35820389,26
B4,1,off_peak,-1,mean,1106666,1.84570956,2.75579858,7.82856131,9.37669468,109
B4,2,all,15,15min,628205,1.65918863,2.51634669,7.55947733,8.99369907,39
B4,2,all,30,30min,629026,1.66477752,2.53324366,7.58601189,9.04530334,37
B4,2,all,45,45min,629756,1.66997039,2.54365277,7.61016703,9.08560181,34
B4,2,all,60,60min,630423,1.67653942,2.55259538,7.64053249,9.13902855,35
B4,2,all,-1,mean,2517410,1.66762745,2.53651309,7.59908390,9.06597805,145
B4,2,am_peak,15,15min,88344,1.57516325,2.33948159,7.55381060,8.76754761,1
B4,2,am_peak,30,30min,88344,1.58918214,2.37676954,7.62103891,8.88158417,1
B4,2,am_peak,45,45min,88344,1.61124539,2.41823125,7.72684526,9.05181408,1
B4,2,am_peak,60,60min,88344,1.63531232,2.46210337,7.84225988,9.24287319,1
B4,2,am_peak,-1,mean,353376,1.60272574,2.39958358,7.68598843,8.98595428,4
B4,2,inter_peak,15,15min,176687,1.39875293,2.11764407,6.70782232,7.83343172,5
B4,2,inter_peak,30,30min,176687,1.40817177,2.13666296,6.75299072,7.89862251,5
