model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
B6,all,45,45分钟,3,629756,1.68802528,0.00848976,2.56084116,0.00800538,7.69244385,0.03868858,9.18166733,0.02964137
B6,all,60,60分钟,3,630423,1.69406096,0.00909620,2.56923207,0.00858381,7.72038396,0.04145407,9.22998842,0.03356372
B6,am_peak,-1,四时距汇总,3,353368,1.62492494,0.00625944,2.42362150,0.00407249,7.77190320,0.02993849,9.06292502,0.01624384
B6,am_peak,15,15分钟,3,88342,1.59355668,0.00804935,2.36444497,0.00349301,7.62187147,0.03849947,8.85551771,0.02105048
B6,am_peak,30,30分钟,3,88342,1.61313649,0.00560929,2.40400783,0.00078729,7.71552022,0.02682891,8.97983106,0.01119756
B6,am_peak,45,45分钟,3,88342,1.63503571,0.00530323,2.44223070,0.00348097,7.82026291,0.02536514,9.12562052,0.01258582
B6,am_peak,60,60分钟,3,88342,1.65797075,0.00649597,2.48221080,0.00958844,7.92995930,0.03106975,9.29073111,0.02339050
B6,inter_peak,-1,四时距汇总,3,706724,1.42984132,0.02029759,2.13531462,0.01595993,6.85307662,0.09728412,7.99692663,0.07138476
B6,inter_peak,15,15分钟,3,176681,1.41756352,0.02024121,2.11365485,0.01499630,6.79423062,0.09701392,7.92178186,0.07169149
B6,inter_peak,30,30分钟,3,176681,1.42729656,0.02029426,2.13185755,0.01574132,6.84088008,0.09726813,7.98363654,0.07211549
B6,inter_peak,45,45分钟,3,176681,1.43383054,0.02033814,2.14267675,0.01655012,6.87219667,0.09747907,8.02319336,0.07144050
B6,inter_peak,60,60分钟,3,176681,1.44067458,0.02032197,2.15287169,0.01654173,6.90499957,0.09740101,8.05909332,0.07031378
B6,pm_peak,-1,四时距汇总,3,350696,1.76935581,0.00854751,2.80484756,0.01119058,8.81584740,0.04258828,11.03002389,0.03085401
B6,pm_peak,15,15分钟,3,87674,1.73590795,0.00597811,2.73601667,0.00681357,8.64919281,0.02978599,10.76232847,0.01119553
B6,pm_peak,30,30分钟,3,87674,1.76156616,0.00742711,2.79181258,0.00979249,8.77703540,0.03700547,10.95661831,0.02215985
B6,pm_peak,45,45分钟,3,87674,1.78234557,0.00925127,2.83047922,0.01251067,8.88056914,0.04609468,11.12622929,0.03823537
B6,pm_peak,60,60分钟,3,87674,1.79760329,0.01156675,2.85954118,0.01696907,8.95659097,0.05763134,11.27491792,0.05533328
B6,off_peak,-1,四时距汇总,3,1106622,1.84036787,0.00884701,2.74976476,0.01312880,7.81112464,0.03754956,9.34129842,0.02239891
B6,off_peak,15,15分钟,3,275508,1.84792300,0.00723415,2.76114535,0.01326228,7.83841499,0.03068533,9.37631035,0.01748548
B6,off_peak,30,30分钟,3,276329,1.84238593,0.00786841,2.75438992,0.01244853,7.81886832,0.03339291,9.35619609,0.01860945
B6,off_peak,45,45分钟,3,277059,1.83717453,0.00942919,2.74610885,0.01292286,7.79923201,0.04002902,9.32297516,0.02318524
B6,off_peak,60,60分钟,3,277726,1.83405105,0.01094131,2.73746332,0.01388970,7.78817924,0.04646186,9.31002235,0.03041325
B7,all,-1,四时距汇总,3,2517410,1.68109906,0.00684399,2.55753462,0.00646466,7.66047160,0.03118682,9.17960803,0.06243378
B7,all,15,15分钟,3,628205,1.66907744,0.00719873,2.53474792,0.00499537,7.60453224,0.03279870,9.08875974,0.06258211
B7,all,30,30分钟,3,629026,1.67750343,0.00683459,2.55372866,0.00564882,7.64400021,0.03114350,9.15587298,0.06213116
B7,all,45,45分钟,3,629756,1.68484930,0.00672977,2.56552609,0.00706211,7.67797057,0.03066792,9.20731926,0.06282909
B7,all,60,60分钟,3,630423,1.69291933,0.00666610,2.57587226,0.00817582,7.71518135,0.03037957,9.26613585,0.06232633
B7,am_peak,-1,四时距汇总,3,353368,1.61617716,0.01671772,2.43365582,0.01302385,7.73006296,0.07995988,9.12120183,0.06715852
B7,am_peak,15,15分钟,3,88342,1.57175966,0.01663964,2.35745597,0.01138740,7.51761770,0.07958631,8.82550335,0.05237591
B7,am_peak,30,30分钟,3,88342,1.59986051,0.01623306,2.40895128,0.01169605,7.65202252,0.07764175,9.00822798,0.06085421
B7,am_peak,45,45分钟,3,88342,1.63042482,0.01682675,2.45812678,0.01486950,7.79820887,0.08048126,9.21273613,0.07639767
B7,am_peak,60,60分钟,3,88342,1.66266374,0.01739065,2.50751742,0.01540687,7.95240561,0.08317813,9.43833860,0.08078700
B7,inter_peak,-1,四时距汇总,3,706724,1.41846387,0.00212383,2.12633928,0.00374842,6.79854600,0.01017943,7.95787112,0.03607854
B7,inter_peak,15,15分钟,3,176681,1.40456756,0.00098091,2.10153063,0.00246948,6.73194234,0.00470148,7.87120597,0.02982393
B7,inter_peak,30,30分钟,3,176681,1.41531416,0.00190275,2.12224809,0.00330066,6.78344965,0.00911970,7.94154851,0.03506310
B7,inter_peak,45,45分钟,3,176681,1.42308633,0.00272742,2.13484716,0.00455157,6.82070080,0.01307199,7.98925654,0.03927655
B7,inter_peak,60,60分钟,3,176681,1.43088726,0.00298334,2.14646792,0.00523614,6.85809008,0.01429856,8.02947156,0.04017836
B7,pm_peak,-1,四时距汇总,3,350696,1.76595970,0.00940271,2.81194949,0.02230556,8.79892604,0.04684914,11.08241367,0.11015848
B7,pm_peak,15,15分钟,3,87674,1.73183366,0.00733598,2.73874021,0.01736007,8.62889163,0.03655158,10.80285327,0.09401916
B7,pm_peak,30,30分钟,3,87674,1.75802338,0.00858867,2.80064050,0.01843809,8.75938320,0.04279312,11.00940990,0.10337214
B7,pm_peak,45,45分钟,3,87674,1.77862048,0.01021377,2.83779510,0.02376866,8.86200841,0.05089042,11.18030230,0.11675322
B7,pm_peak,60,60分钟,3,87674,1.79536160,0.01180860,2.86893551,0.02940661,8.94542185,0.05883654,11.33709081,0.12653878
B7,off_peak,-1,四时距汇总,3,1106622,1.84266412,0.00627145,2.75593758,0.00257888,7.82087040,0.02661835,9.37551562,0.07254006
B7,off_peak,15,15分钟,3,275508,1.84993990,0.00832937,2.76562516,0.00281727,7.84697040,0.03533117,9.40855217,0.08393313
B7,off_peak,30,30分钟,3,276329,1.84441849,0.00686124,2.76074147,0.00266356,7.82749446,0.02911854,9.39143817,0.07662860
B7,off_peak,45,45分钟,3,277059,1.83945612,0.00555660,2.75303388,0.00236405,7.80891816,0.02358888,9.35803604,0.06902234
