model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
STAEformer,2,am_peak,30,30分钟,88342,1.54440773,2.35134602,7.38679552,8.66284275,1
STAEformer,2,am_peak,45,45分钟,88342,1.58034647,2.40927744,7.55868769,8.87188625,1
STAEformer,2,am_peak,60,60分钟,88342,1.60823226,2.45128226,7.69206381,9.01828766,1
STAEformer,2,am_peak,-1,四时距汇总,353368,1.55827701,2.36843061,7.45313072,8.74184132,4
STAEformer,2,inter_peak,15,15分钟,176681,1.36197495,2.06710339,6.52780104,7.67694712,4
STAEformer,2,inter_peak,30,30分钟,176681,1.38670015,2.15783095,6.64630508,7.80733061,4
STAEformer,2,inter_peak,45,45分钟,176681,1.40078092,2.20168734,6.71379328,7.88183594,4
STAEformer,2,inter_peak,60,60分钟,176681,1.41213334,2.20026708,6.76820421,7.90636921,4
STAEformer,2,inter_peak,-1,四时距汇总,706724,1.39039731,2.15741467,6.66402674,7.81812096,16
STAEformer,2,pm_peak,15,15分钟,87674,1.64939547,2.61463690,8.21814251,10.21200752,4
STAEformer,2,pm_peak,30,30分钟,87674,1.71772277,2.76905227,8.55858517,10.71634769,4
STAEformer,2,pm_peak,45,45分钟,87674,1.74744201,2.83729601,8.70666122,10.93187046,4
STAEformer,2,pm_peak,60,60分钟,87674,1.77881753,2.87833047,8.86299038,11.09972763,4
STAEformer,2,pm_peak,-1,四时距汇总,350696,1.72334445,2.77664423,8.58659554,10.73998928,16
STAEformer,2,off_peak,15,15分钟,275508,1.80918407,2.71317172,7.67409420,9.12089634,30
STAEformer,2,off_peak,30,30分钟,276329,1.80878520,2.73293781,7.67627144,9.12607384,28
STAEformer,2,off_peak,45,45分钟,277059,1.80386436,2.73540759,7.65782309,9.10193920,25
STAEformer,2,off_peak,60,60分钟,277726,1.80122435,2.73268080,7.64878321,9.09303093,26
STAEformer,2,off_peak,-1,四时距汇总,1106622,1.80575502,2.72858524,7.66421652,9.11044979,109
iTransformer,0,all,15,15分钟,628205,1.69216692,2.58032393,7.70973110,9.16236591,39
iTransformer,0,all,30,30分钟,629026,1.76208854,2.70009995,8.02943516,9.60387135,37
iTransformer,0,all,45,45分钟,629756,1.82536411,2.79633832,8.31830597,9.98308468,34
iTransformer,0,all,60,60分钟,630423,1.88363504,2.87518263,8.58433437,10.32751369,35
iTransformer,0,all,-1,四时距汇总,2517410,1.79090726,2.74034429,8.16084862,9.76978016,145
