id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
52612,S284_MansfieldRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.964928,-1.152848,52.964924,-1.152878,52.964926000000006,-1.152863
52613,S284_MansfieldRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.964943,-1.152754,52.964928,-1.152848,52.964935499999996,-1.1528010000000002
52614,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.964851,-1.15272,52.96484,-1.15281,52.9648455,-1.152765
52626,s165_WesternBlvd_road_northbound_left_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.966442,-1.190961,52.966442,-1.190919,52.966442,-1.1909399999999999
52627,S163_WesternBlvd_road_southbound_LHS_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.970001,-1.188257,52.970013,-1.188307,52.970007,-1.188282
52628,S204_WesternBlvd_road_turninglane_not002,,CLOCKWISE_ONLY,False,False,False,52.967533,-1.190741,52.967533,-1.190784,52.967533,-1.1907625
52629,S205_AspleyLn_road_not002,,CLOCKWISE_ONLY,False,False,False,52.967663,-1.190245,52.967644,-1.190257,52.9676535,-1.190251
52632,S209_LowerParliamentSt_road_not002,,ANTICLOCKWISE_ONLY,False,False,True,52.953587,-1.139398,52.953548,-1.139478,52.9535675,-1.139438
52633,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.95364,-1.13949,52.953609,-1.13955,52.953624500000004,-1.13952
52646,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.969944,-1.188319,52.969967,-1.188419,52.9699555,-1.1883689999999998
52647,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.966537,-1.19096,52.966537,-1.190811,52.966537,-1.1908855
52648,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.967381,-1.190599,52.967384,-1.190695,52.9673825,-1.190647
52649,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.967651,-1.189922,52.967609,-1.189945,52.96763,-1.1899335
52650,S163_WesternBlvd_road_southbound_RHS_not002,,ANTICLOCKWISE_ONLY,False,False,False,52.970009,-1.188315,52.970024,-1.188358,52.9700165,-1.1883365000000001
